address,city,days_open,latitude,name,state,zip,longitude
4168 Poplar St.,Philadelphia,['Tuesday'],39.97263723,Universal Kingdom of God Church,PA,19104,-75.20762965
325 Main St.,Upland,['Wednesday'],39.8587903,Upland Baptist Food Bank,PA,19015,-75.3819139
7766 Wayne Ave.,Upper Darby,"['Monday', 'Tuesday', 'Thursday', 'Friday']",39.96335873,Upper Darby Food Bank,PA,19082,-75.27407954
191 Town Center Rd.,King of Prussia,['Tuesday'],40.09568144,Upper Merion Area Community Cupboard,PA,19406,-75.36871107
7236 Ogontz Ave.,Philadelphia,"['Monday', 'Tuesday', 'Wednesday', 'Friday']",40.0647396,Upper Room Missionary Baptist Church,PA,19138,-75.1551748
501 Graber Aly.,Red Hill,"['Tuesday', 'Friday']",40.376138,Valley Food Pantry,PA,18073,-75.483407
701 Rockland St.,Philadelphia,['Saturday'],40.02635,Victory Kingdom Fellowship Ministry,PA,19120,-75.136595
3415 N. 2nd St.,Philadelphia,['Tuesday'],40.0028328,Victory Outreach Christian Ministry Food Pantry,PA,19140,-75.1320708
2862 Germantown Ave.,Philadelphia,['Friday'],39.99558065,Warnock Village Food Pantry,PA,19133,-75.14733318
1016-18 South St.,Philadelphia,['Wednesday'],39.942799,Waters Memorial Community Center,PA,19147,-75.159279
2500 Cecil B. Moore Ave.,Philadelphia,['Saturday'],39.9807526,Wayland Temple Baptist Church,PA,19121,-75.1759317
4001 Conshohocken Ave.,Philadelphia,['Monday'],40.00187747,Well Done Community Resource/Park Towers,PA,19131,-75.21283763
431 S. Bolmar St.,West Chester,"['Tuesday', 'Wednesday', 'Thursday', 'Saturday']",39.95991617,West Chester Food Cupboard,PA,19382,-75.59138713
601 N. 46th St.,Philadelphia,"['Sunday', 'Wednesday']",39.962705,West Philadelphia SDA Church,PA,19139,-75.212964
1016 N. 41st St.,Philadelphia,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']",39.97179598,West Philadelphia Senior Community Center,PA,19104,-75.20615459
1576 Fairview Ave.,Willow Grove,['Thursday'],40.13168812,Willow Grove SDA Church Food Pantry,PA,19090,-75.12398682
315 S. 60th St.,Philadelphia,['Saturday'],39.9462419,Word of Life Healing Ministry,PA,19143,-75.2440507
1300 W. Jefferson St.,Philadelphia,['Wednesday'],39.9750909,Yorktown CDC,PA,19122,-75.1568385
120 E. Street Rd.,Warminster,"['Tuesday', 'Thursday', 'Friday']",40.1857267,YWCA Bucks County-Aspen Grove,PA,18974,-75.0629209
1600 S. 21st St.,Philadelphia,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']",39.931422,Zion AME Church,PA,19145,-75.18005
5301 Spruce St.,Philadelphia,['Tuesday'],39.9552341,Zion Hill Baptist Church,PA,19139,-75.2285437
2702 Ellsworth St.,Philadelphia,"['Wednesday', 'Saturday']",39.9394969,Zion Hill Memorial Baptist Church,PA,19146,-75.1886555
